"","IM00","IM02","IM04","IM06","IM09","IM12","IM18","IM24","IM48"
"Hs.8821",0.468821195,0.52000111,0.457985148,0.509145612,0.411186802,0.50828237,0.478086489,0.405842874,0.511750186
"Hs.88218",0.819896659,0.759878289,0.778758137,0.773386686,0.769682132,0.722666986,0.688912671,0.744234793,0.753928943
"Hs.88556",1.123912461,1.15845925,1.186131185,1.163004952,1.056343644,1.057020777,1.307100678,1.381142254,1.659174883
"Hs.8867",1.894399385,0.748416168,0.631051623,0.69831042,0.550108348,0.515449409,0.475321884,0.477214138,0.637005884
"Hs.889",1.105271842,1.031533224,1.090839999,1.064211365,1.076391513,1.04819436,1.051966682,1.05047232,1.040843083
"Hs.89499",0.875383593,0.905510254,0.882982489,0.904760329,0.850249996,0.878551951,0.857237686,0.854899099,0.839567476
"Hs.89538",0.98294013,0.982085968,0.96420308,0.975861449,0.94403859,0.948532599,0.896458189,0.849744176,0.912014654
"Hs.89575",1.225944871,1.081277888,1.139336771,1.154938386,1.168620973,1.191438439,1.305839047,1.46540471,1.166305131
"Hs.89584",1.177549869,1.110338475,1.011664489,1.062058695,1.073557613,1.157610276,1.113511608,1.134591689,1.120897177
"Hs.89603",0.245971988,0.261076811,0.258981024,0.246238331,0.238577063,0.250919696,0.281078154,0.237586218,0.256195564
"Hs.89648",1.092595308,0.976845654,0.82175556,0.798308016,0.907790574,0.934080108,0.78372207,1.334355422,0.834580233
"Hs.89649",0.706809903,0.704403498,0.70939802,0.726027188,0.69968866,0.799718883,0.824509496,0.704086555,0.767333275
"Hs.89663",0.343603926,0.381443694,0.360436329,0.37696243,0.306787602,0.338848469,0.320554241,0.302352993,0.315792394
"Hs.89679",1.046399328,1.034408161,1.02166161,1.034212798,1.041713676,1.028986711,1.041030321,1.026900365,1.023588228
"Hs.89690",0.481347833,0.547052521,0.462969373,0.506753768,0.395973321,0.534119276,0.482430207,0.4032015,0.546085042
"Hs.897",1.095894702,1.129706534,1.093426639,1.114845241,1.216551679,1.282616146,1.079890779,1.174091741,1.143801428
"Hs.89890",0.828289048,0.913517965,0.808854578,0.867960816,0.803744998,0.874251254,0.790201273,0.657906265,0.394383967
"Hs.90791",1.019639077,1.099376966,1.029790514,1.040428484,1.010145556,1.031239163,1.02316107,1.032987484,1.061745877
"Hs.93177",1.124774767,1.126275076,1.114931479,1.073700763,1.087025103,1.113085645,1.073155722,1.115537313,1.065614846
"Hs.93485",1.00289795,1.046482523,1.020006425,1.028860604,1.002365673,0.996013989,1.01928718,1.020675605,0.99756324
"Hs.936",1.179039694,1.186606186,1.144976255,1.172328607,1.055934174,1.090152016,1.127802761,1.073180363,1.12167319
"Hs.93907",0.998286576,1.074683316,1.03706756,0.991727667,1.05055967,0.993569543,1.003092791,0.994201876,1.056387678
"Hs.94107",1.061032337,1.084259291,1.054643321,1.069050316,1.075588137,1.203703326,1.212791439,1.251728478,1.123359847
"Hs.94367",0.99875885,1.045447404,1.026035301,1.004913002,0.964847235,1.06415705,1.041128249,0.957446343,1.054075549
"Hs.95008",1.257810711,1.23024957,1.106041209,1.086471024,1.140935766,1.186104137,1.121519177,1.26027354,1.179851558
"Hs.95120",1.182168227,1.155882738,1.153383042,1.200382161,1.177527844,1.20200887,1.229137263,1.157949769,1.177157188
"Hs.952",1.25403419,1.12688244,1.179400356,1.182453547,1.150269653,1.150951322,1.121024135,1.136333756,1.069864107
"Hs.95577",0.926585809,0.897300471,0.93508164,0.836490528,0.77627387,0.816242424,0.797688909,0.576711797,0.7105319
"Hs.95990",0.793718169,0.847404331,0.81089288,0.844660501,0.745786126,0.9328044,0.921981752,0.652206824,0.844194804
"Hs.96",0.518578248,0.354262293,0.369796184,0.342539195,0.29847425,0.283568932,0.247812281,0.241128989,0.323052916
"Hs.9731",1.059542088,0.989685471,0.8885613,0.882862905,0.879074807,0.880728616,0.825233211,0.756769643,0.818222439
"Hs.98255",2.499823005,2.410262632,2.166273447,2.366688969,2.632996576,3.038738194,3.145633368,3.108192915,3.307603017
"Hs.98586",1.088041135,1.066229144,1.103642846,1.087990468,1.114793446,1.116305884,1.103027836,1.064513757,1.090412056
"Hs.98788",0.613266216,0.57452116,0.567987561,0.585799892,0.567852054,0.586071745,0.621934349,0.624661005,0.598695785
"Hs.99348",0.930950213,0.954505937,0.964809395,0.982535219,0.899916909,0.964972527,0.905177521,0.940901796,0.926203588
"Hs.997",1.09010387,1.056289177,1.048260217,1.04087848,1.0906271,1.111516707,1.139428235,1.150410075,1.173389044
"Hs.99863",0.984882237,1.070079133,0.98162826,0.973938299,0.958861849,0.967348435,1.009777235,0.969763223,0.993142309
"Hs.99884",0.977894726,1.117711024,1.107527619,0.962921192,0.952464544,1.010907869,0.984576345,1.003046577,1.006263434
"Hs.99992",1.106216186,1.092218454,1.169813164,1.048481939,1.16975813,1.116982309,1.06757857,1.131978033,1.019506583
