"","IM00","IM02","IM04","IM06","IM09","IM12","IM18","IM24","IM48"
"Hs.101174",1.02292779317617,1.04723123512054,1.03731610463863,1.02800952693048,1.02345250502147,1.05349618017142,1.08225765842412,1.05264806798341,1.14756946223999
"Hs.1012",0.446466988798435,0.452842931869095,0.427864807119952,0.442783643546341,0.370100137506708,0.414662355568947,0.39982367012609,0.356465040103661,0.420163851353244
"Hs.1019",0.996186645790405,0.965208943759448,0.908150283092524,0.940061428960649,0.995382594978029,0.98743800437239,1.10595114778532,1.18379586243908,1.4467426235973
"Hs.101937",2.47315461917074,2.74720597971131,2.85617690712427,2.8935565758762,2.79244341244953,3.05833498327159,3.46743943725306,2.39084970455552,3.13175671268769
"Hs.102484",1.0431716490164,1.03140091551954,0.950300801697116,1.01729588192449,0.943751869397552,0.988633346090211,0.933949569762686,1.01797797894245,0.993778776127447
"Hs.103110",1.05084205392044,1.07273162008302,1.05155477259009,1.09061182179266,1.12208768891807,1.15299280062223,1.17810960910335,1.2057309473152,1.07179538831917
"Hs.103183",0.747064765366702,0.751588160350535,0.870265535304397,0.842378890162474,0.916294919915599,0.773307129366597,0.78821670797433,0.82857387598164,0.796649986636682
"Hs.104119",0.731938357350143,0.768733304646093,0.805382413397196,0.831950086536603,0.831388594635168,0.903905628382961,0.957726069706992,0.898179284668479,0.790990211893712
"Hs.104134",1.16653510131326,1.19386587530991,1.10250035202516,1.13105355561212,1.10627464502471,1.2202351629862,1.20592300689788,1.16118472812984,1.14999729478162
"Hs.104741",0.627214943331361,0.659902495043624,0.772393130307396,0.750269678329958,0.766273162906076,0.724855959627819,0.613091906204314,0.55575650378635,0.358526424989036
"Hs.1051",1.00091573338102,0.99073714401048,0.969687375788825,0.963166343578887,0.967049026403465,1.03457198179822,1.02965900347106,0.960769797482161,1.17328954043042
"Hs.105407",0.751348246952509,0.850106635202026,0.866726011873135,0.855311874750198,0.787373002690619,0.83696472091365,0.809011703645662,0.715198922368161,0.814674212254305
"Hs.106070",1.00125650243567,0.99362451265124,1.01987079202527,1.10977216928107,1.31089359745993,1.66153181484944,1.90176725076471,1.71003015781295,1.46139328554118
"Hs.1074",1.05425359039901,1.03685343237571,0.986427527332887,0.991298077186438,1.00508317449828,1.06041948111505,1.06964783806954,1.02671638626953,1.05747029682539
"Hs.1076",1.1136463444166,1.10063918741647,1.13020468144492,1.13770119811796,1.13471785834143,1.14070755893536,1.10339674252705,1.0510316161451,1.07770245011731
"Hs.108408",0.8556832905467,0.864294866216734,0.854889974940041,0.816457073157697,0.839437705774553,0.920922449431858,0.95959177292939,0.826769927517967,0.813434607316054
"Hs.109225",0.791108716924981,0.857519414096503,0.83346655579889,0.832587246054792,0.808157884814634,0.748471459786385,0.718888472196793,0.74701458658855,0.659376307740706
"Hs.109620",1.01389468477322,1.09385344409133,1.03453646658474,1.02395736758924,0.992418893743236,1.02504170283245,1.04145302558214,0.989800187244124,0.992425786258991
"Hs.110014",1.06858879516175,1.11326889612374,1.0932898246665,1.04123513010791,1.07104723159963,1.07139861329191,1.047974062941,1.12095031437928,1.0466667062661
"Hs.110571",1.28813202209031,1.13641499390882,1.15963014223602,1.28136184649518,1.2800376670597,1.37248656649953,1.51748608000935,1.39041442523318,1.49179200222307
"Hs.111779",0.624069998860137,0.628593490833641,0.645408553769684,0.666169725964733,0.658774764557117,0.777005075514328,0.899105670838594,0.842370625841077,0.642567458952496
"Hs.112405",0.94375168489089,0.964514814290734,0.938421526444633,0.912128596483209,0.951710823705944,0.96191176512119,0.97719943444335,0.956924398534832,0.962411793981275
"Hs.112432",0.825353919918645,0.863485336569086,0.841749904463347,0.827899665358783,0.784919117009673,0.914179077266945,0.838892736833248,0.777173181874374,0.91476096232434
"Hs.113577",0.66006305047879,0.668876594917021,0.787381329015151,0.742245779275475,0.81965766935825,0.714504451867502,0.768059814557478,0.76397340051558,0.779079820530941
"Hs.113916",1.08381027774711,1.08697580093072,1.08585292625364,1.07665705278298,1.07555471877915,1.09663973703197,1.09086890107118,1.0966948610996,1.08717743979633
"Hs.115242",1.1966111701212,1.17667381806462,1.0871449251754,1.03847063735367,1.01533762091335,1.04436422850602,0.975756851032201,0.931939960208859,0.979601419152515
"Hs.115617",0.746777187867479,0.738265964836186,0.718190103752656,0.704339869450595,0.693766173344965,0.709577051523281,0.660462757653924,0.702478706378487,0.682459093402663
"Hs.116462",1.00186550081304,1.00437296886285,0.993416709817524,1.01580078537561,0.991526880273312,0.991544404774646,0.992415273799627,0.983746662262392,0.98945137625954
"Hs.1166",0.958359565590718,0.947574986808701,0.93330464749722,0.939559123679667,0.996577822564021,0.994842183226519,0.958368819721026,0.942016815734303,0.9046012336249
"Hs.117050",1.03159686515861,1.05517122194613,1.02909342353297,0.973146797315879,1.03014591898598,1.04170880077957,1.02634838225975,1.02498064382963,1.0357707172421
"Hs.117367",1.12319646482269,1.24573346519989,1.27562327454244,1.29279674787861,1.23830481927783,1.24448619962418,1.34018079224431,1.0887118311827,1.27878068713655
"Hs.118651",1.21038831080952,0.714237367762637,0.529460867868625,0.56820033801912,0.513597836580351,0.415730319557566,0.390493065974723,0.378057667773584,0.364282948765459
"Hs.118681",0.765437920455063,0.769773003405135,0.776680117854872,0.808288479740735,0.813249152972628,0.849659928904352,0.860856658464102,0.774971273487907,0.787813221397208
"Hs.119689",0.550528814029991,0.558793144714229,0.546674134798658,0.575042887554397,0.52526978021266,0.521003733432454,0.522629665866929,0.519698053398786,0.513875908399477
"Hs.119825",0.342179660865018,0.348270320935389,0.302212029279835,0.340642215757919,0.294432634777223,0.289055430862944,0.307924510177619,0.307331101807208,0.297965785950165
"Hs.119882",0.0679386203487089,0.0720901390058214,0.0703801509477557,0.0707804499503811,0.0623938843703803,0.0706922125895662,0.0713697552530203,0.0723749750576166,0.0749492701418284
"Hs.120759",0.18157058626102,0.187041939562637,0.178868103263023,0.184755619199544,0.176921938616464,0.188875462200715,0.181122913129211,0.17686659297328,0.187296757539355
"Hs.120949",1.01499826598785,1.01928782324669,1.04815824034316,1.04575963902023,1.08738973922869,1.01719363699123,1.04821108616847,1.06014792943711,1.01877585464642
"Hs.1211",0.241246270015252,0.257973265122866,0.251725901201702,0.272176818643233,0.198905633300169,0.251346581099219,0.232163248185323,0.207767165569596,0.24910674527815
"Hs.121575",0.850103070545484,0.87653135978999,0.836485957986945,0.83911548731747,0.817915814586113,0.832098027961964,0.857321461523404,0.844904549831462,0.84902630928623
"Hs.122523",1.01599258662637,1.03937424017358,1.0311195919074,1.03198179933619,0.998619185205539,1.06034265963289,1.1209509757271,1.07166054593796,1.00182295389458
"Hs.122926",0.565777134012787,0.521873108081087,0.746880961983344,0.767545461113645,0.869239830925344,0.849014581285607,0.902179343219125,0.956328908638863,0.965321882621528
"Hs.12341",0.958740639046165,0.972984176124636,0.962689148723919,0.966929962346301,0.944916512177561,0.948287552806793,0.966156337327748,1.02073731743886,1.10822235742657
"Hs.1239",0.78706484222326,0.798965871643448,0.77724815290927,0.807383295880252,0.788608976404817,0.802959491323004,0.806084189967174,0.753967190731954,0.788593283305461
"Hs.12409",0.960432840881472,0.97001689224177,0.984319006818107,0.939613394605046,0.996946264568513,0.953765421938238,0.993183020596545,0.988536183778412,0.983897980148067
"Hs.124161",0.21214224911336,0.199177901956169,0.16835501723056,0.188922474408395,0.186832984484696,0.229639525389048,0.254147592265019,0.35065617127377,0.258248282903149
"Hs.12420",1.06467418638026,1.07720119435769,1.1402616065779,1.11797694233659,1.11186822478336,1.20883701448573,1.10995838129745,1.1474722377245,1.1199114861621
"Hs.124503",0.952807739949011,0.808937742676883,0.918347606341998,0.855324772546284,0.976336478347025,0.882483848423545,0.85375244855731,0.873877573793841,0.907149641907787
"Hs.125113",0.808907030994845,0.821263589553969,0.798032229866241,0.809472834952648,0.76167525559279,0.756955032736706,0.711482644350905,0.803115386534056,0.769511899589911
"Hs.125180",2.15282732848321,2.27603904553873,2.76169608951842,2.71014237861211,3.01226021288875,2.56544038415682,2.77575865864462,3.26467045534628,3.27953705147271
"Hs.125898",0.905037202163397,0.914283351187266,0.868103435172447,0.867372756816293,0.848856850717628,0.940125873982849,0.912231089956375,0.94214509583937,0.909072894458135
"Hs.126256",1.00142072128902,1.02248978902497,1.01623133673812,1.00781544497489,0.9735836555886,0.961659874863752,0.959003430944191,0.936912749318315,0.946003127202407
"Hs.1270",0.967032434308851,0.912036815733658,0.851051332402706,0.90258228791221,0.893307136431394,0.90067417488162,0.895757491863706,0.932833097750375,0.868891656922566
"Hs.128433",1.09076483338614,1.11782346207647,1.06912649001207,1.03120517009599,1.06538686407783,1.02396904254325,1.02112293039497,1.08115226401713,1.02871018783757
"Hs.1288",0.597018735200708,0.464768015462808,0.573873266582382,0.582599929639537,0.51581089131799,0.571543463356449,0.526219036489609,0.516622006553356,0.562438496754884
"Hs.12907",1.10822845397217,1.04096371449874,1.03310209214634,1.06028505173294,1.06561812005271,1.01614065708063,1.08652231646659,1.12420770332343,1.32610205969613
"Hs.129614",0.894042822062783,0.933956615205389,0.904268444589183,0.904650525694083,0.914976389720956,0.900601430836944,0.909754247427896,0.977988075381274,0.922758379919059
"Hs.129706",1.81907022475223,1.777437519499,1.62570810627444,1.63817296650787,1.8565576418926,1.87887106534605,2.01936991549601,2.184596498835,1.86024035362405
"Hs.129829",1.06806742957059,1.04831658994143,0.984119656352991,0.99130201344095,0.982056568022391,1.04433830119445,0.980911761970775,1.09371220278977,1.00949177494356
